,AAPL,ABBV,ABT,AFL,AMZN,CCI,CVX,DLR,DRE,GOOGL,GS,JPM,MSFT,NEE,XOM,MVP,Date
0,10000.000000000002,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9999.999999999998,2019-12-31
1,10228.16319926072,10114.072975580164,10010.361079583034,10085.06558322537,10271.506103548769,9966.936247563586,10076.342058969121,9854.685326974102,9913.47007415499,10218.681710027062,10190.928316804138,10121.234039842298,10185.161586902483,9853.815308416442,10160.504838947392,10102.751764070697,2020-01-02
2,10128.724633334385,10018.070480128805,9888.325902154376,10015.12249793004,10146.819934989286,10021.808851965803,10041.490332016987,10016.703238784441,10095.183688630903,10165.224282185589,10071.761371192668,9923.95999964097,10058.338502647355,9924.017331100722,10078.81958460581,10017.950843231778,2020-01-03
3,10209.432794970613,10097.131308048218,9940.133056780227,9986.767543893175,10297.861173291107,9937.390121149318,10007.46795587879,9926.50766083868,9985.578529073782,10436.16950256248,10174.83601098224,9916.068994248728,10084.33746713966,9973.571218204082,10156.20578766885,10047.568360896452,2020-01-06
4,10161.417362522543,10039.529983115204,9884.872208960032,9892.249588207409,10319.400389958582,9769.257902206777,9879.677657295404,9828.796103312477,9922.123836940882,10416.010752548524,10241.813290762064,9747.490016657695,9992.390924571362,9964.89898865786,10073.087151784499,9961.088855142578,2020-01-07
5,10324.876851463,10110.683952722571,9925.166760152953,9922.495305182263,10238.819904601187,9810.060002520411,9766.82390356182,9913.980391041201,9979.809720645753,10490.148699689422,10340.53851522083,9823.530017016725,10151.55354698154,9960.356512250195,9921.181508743955,10060.944019790293,2020-01-08
6,10544.185639995665,10188.61510635612,9951.646538568495,9924.385347005478,10287.957790930539,9866.338798588486,9751.058007898078,9914.815712271276,9930.776499439073,10600.27391748253,10551.037873758385,9859.398024326058,10278.376631236666,10038.404057718752,9997.134330264227,10175.878556152535,2020-01-09
7,10568.022919205685,10058.730137529874,9827.308313440048,9843.099847426536,10191.141968243775,10017.587056681978,9662.268722705416,10052.614405716731,10072.10845491879,10668.737338835379,10529.726800441604,9761.120034571995,10230.817974640995,10057.400039999502,9908.283261558565,10160.081334327491,2020-01-10
8,10793.802078770377,9997.740651428272,9799.677889529952,9924.385347005478,10235.19397681454,10080.19693553266,9680.524570087646,10186.237130175223,10201.903893830158,10751.387644275474,10664.550712165328,9842.18098675988,10353.836521181802,10175.090443106003,10002.866763085538,10294.129225450146,2020-01-13
9,10648.050372035943,9961.598829481656,9871.056557827314,9867.674717816972,10116.893437855182,9985.930569340171,9650.651480388036,10084.349603662058,10092.299834560741,10680.907778304105,10684.121753898746,9956.959047991631,10280.913634768443,10230.012883267116,9916.881364115648,10268.18134098594,2020-01-14
10,10602.417940033816,10081.319314802136,10059.866064864433,9886.578020508216,10076.738207518345,10133.66227484027,9636.544286352171,10104.392853039979,10138.44920169726,10745.190209967708,10664.550712165328,9807.748006232241,10347.494979935707,10388.99892742359,9901.117447194485,10280.831175254509,2020-01-15
11,10735.228904704198,10081.319314802136,10163.481252471473,9979.205934370768,10162.893422661133,10216.672667133394,9699.609768283814,10328.211155444233,10207.672702258185,10827.019127515174,10860.697132836745,9845.768006411758,10537.095839227124,10417.492585788785,9862.424892337847,10383.236148120273,2020-01-16
12,10854.078583726612,9939.010513898398,10246.373402557103,10098.298039332196,10091.350093691133,10218.079932228004,9590.90530098882,10392.51750972837,10288.433819675169,11046.222606827705,10849.389582055297,9913.917001378546,10596.069076549098,10464.155519672786,9825.164625674213,10451.77110023585,2020-01-17
13,10780.521501928382,9937.880839612533,10330.41707649263,9988.65758571639,10238.98175425871,10426.311155651249,9402.538839100054,10500.251010525239,10366.311083021988,11066.605785988468,10685.861121854505,9816.355977712972,10558.021764239222,10608.275964798928,9684.72384827629,10440.722378369232,2020-01-21
14,10819.00285409251,9849.78520247322,10575.638955199836,9930.056193589895,10214.412811094035,10460.078003920593,9368.517096054082,10546.183483564782,10271.128494678787,11078.699896762593,10744.57491068236,9804.877952668854,10507.292337020503,10732.573090770513,9628.833994955721,10460.8747641589,2020-01-22
15,10871.105657126664,9630.674922221797,10445.544867532595,9935.727761289088,10198.826523921874,10536.757313431106,9385.112975623986,10615.500490902548,10372.079891450016,11084.822141610008,10680.642354359621,9794.83495440643,10571.972380913954,10740.00589028568,9568.643997006846,10494.938495314338,2020-01-23
16,10839.775384800532,9435.283493528501,10407.552485684126,9903.591281376244,10074.68205625696,10545.198757141254,9281.387145581519,10711.541405968603,10412.460450158507,10946.55100249196,10521.463309489636,9551.649908633344,10465.44048699631,10890.320335007793,9504.156041129194,10434.633810892301,2020-01-24
17,10521.029069591616,9489.495795603922,10314.298377660121,9797.731632521642,9894.471546004444,10573.338691889667,9160.235452062985,10775.013076186075,10386.501362376233,10689.418997369052,10357.065497124766,9471.30592253395,10290.42497905424,11015.03081436035,9277.72986476138,10315.52653503873,2020-01-27
18,10818.661980064482,9461.259970280345,10308.542515121326,9899.81047661504,10029.277446976896,10673.936140864767,9220.811615368364,10841.824756997024,10447.073300726674,10829.557341419162,10550.167857966702,9643.471919776859,10492.074186163229,10976.6267566416,9264.832710925757,10480.530183556197,2020-01-28
19,11045.121848435145,9396.882323010155,10262.49122303427,9901.701239553031,10054.983466562026,10485.403408479788,9158.576117342884,10658.92763741528,10493.222667863192,10875.846707373785,10443.178478928363,9629.124935774069,10655.675113378997,10974.562510184183,9187.446507862714,10564.515725711977,2020-01-29
20,11029.116357869094,9236.50304197761,10264.79427073406,10026.46491221365,10123.603592533907,10631.727848885277,9244.046100003121,10501.085694591902,10594.17406463442,10857.555162291894,10617.579813828565,9748.206982746184,10956.24617139365,11146.762000070825,9284.89567912546,10707.781077815624,2020-01-30
21,10540.099308659666,9150.66589172102,10032.235640954335,9748.58189174077,10870.638027865227,10540.97803528618,8890.54829395257,10271.421417903946,10473.032388508947,10697.258068227828,10340.103839138792,9494.978938710674,10794.546545451694,11075.322437691075,8902.264261763677,10462.664981274529,2020-01-31
22,10511.153076029563,9295.23404119649,10023.025206865857,9831.757433142926,10846.177259726752,10495.252117284545,8819.184872235974,10283.948687701426,10473.032388508947,11069.21805011856,10394.90288871788,9567.431919417828,11057.705025831088,11017.921767579712,8703.066867959647,10524.43312889006,2020-02-03
23,10858.16491506261,9527.896966122265,10157.725389932677,9862.00315011778,11092.248194137674,10583.890496527352,8866.483825411651,10438.449982767916,10579.752593708203,10791.554765382682,10522.333325281317,9705.164936133098,11421.68665838996,10924.182546430739,8594.153377729164,10724.610777378442,2020-02-04
24,10946.705904592895,9784.277880917165,10310.844684465776,10071.833127118545,11039.213529574392,10549.420552425081,9151.10752837187,10344.0790729986,10582.636447778365,10796.33271381775,10624.973288988851,9870.157988676972,11407.736041715227,11013.792014441156,8989.68194892657,10798.243910167665,2020-02-05
25,11074.74878987122,9846.397041304632,10300.483604882742,9969.754283025146,11095.278746398431,10587.408122549497,9085.552727813963,10357.441026862745,10599.942873062448,11019.718322053775,10517.114557786435,9871.593015458666,11644.261790511046,11080.689730525102,8867.870758185582,10906.868734137237,2020-02-06
26,10898.348558866712,10423.537379853626,10116.279314889862,10005.670846584419,11252.489264247972,10586.705026716569,9039.913742450612,10295.640636268832,10565.331122781985,11043.161484403998,10350.976713838201,9840.028993889699,11660.748443134207,11130.657601121296,8809.114688454358,10868.548271634505,2020-02-07
27,10950.110487872837,10701.377797634923,10165.78430017126,9969.754283025146,11548.13243662017,10757.650702419574,9110.447180261046,10529.480881943751,10755.697399756087,11263.784449589226,10323.142181152816,9880.9190476326,11965.75780595445,11221.50586905091,8592.719996186395,10998.420702734333,2020-02-10
28,10884.04535994063,10842.556924252796,10265.944916228616,10007.560888407634,11639.536204942624,11328.174864120023,9228.279571247154,10482.71245051072,10850.879988099288,11274.236923812343,10284.000097685983,9899.570017375756,11695.624984821035,11238.436974762382,8674.405250527978,10955.653476081596,2020-02-11
29,11142.517248693483,11044.725536972275,10222.19667184135,9905.482044314234,11689.323967192744,11481.534556569804,9297.153674337485,10610.48983784892,10920.104588947917,11338.222015337284,10379.245922605625,9899.570017375756,11712.746372118814,11160.390059405687,8780.453071022688,11020.702360037867,2020-02-12
30,11063.170504669195,10769.143606073701,10209.532544558528,9916.82373748307,11634.5031760518,11531.481196426514,9265.621249917776,10567.062054172779,10943.178722372326,11299.099572035262,10366.199003868418,9890.962045895025,11649.334829991252,11375.536713530606,8731.728485391315,11027.014198082823,2020-02-13
31,11065.895418393251,10622.317831404514,10322.358166254044,9982.986739131971,11553.327315168517,11675.695275904467,9134.511648801965,10982.128139805885,11098.933249065965,11338.96821376956,10310.964614579685,9860.833051107751,11753.329720377122,11501.485992802358,8691.602548991908,11080.034556782815,2020-02-14
32,10863.27282923261,10572.62250309454,10232.557751424385,9807.183283867264,11665.891274684962,11692.579236753514,9147.788225839444,11124.102165074893,11110.470865922021,11344.269070724346,10142.652726593655,9730.272979091518,11872.542761620265,11646.845237847694,8581.255677218658,11056.86348962528,2020-02-18
33,11020.602821169068,10632.48231491028,10287.819477599918,9744.801086979567,11744.631958833374,11649.666775512344,9189.27855785643,11058.126442657427,11064.321498785503,11384.809860664816,10321.837489279096,9862.985043977935,11875.713532243311,11342.501208869606,8647.177014639079,11060.32802176892,2020-02-19
34,10907.542804372708,10642.647660105049,10184.20428999288,9733.45939381073,11651.982939064264,11747.45076772698,9112.106514981146,11382.996950344772,11153.735278700675,11325.977525642455,10121.77632935891,9862.985043977935,11694.356483055148,11439.956829776163,8578.389460808003,11006.448693485725,2020-02-20
35,10660.650240071967,10725.095787504044,10067.924975103018,9741.020282218364,11342.811282308412,11822.722812142885,9045.722363609302,11535.82824011452,11199.885746124895,11075.638774338886,10030.009240350788,9742.467970224125,11324.667076341455,11463.081935083608,8473.775021856061,10824.708445392404,2020-02-21
36,10154.26524343446,10519.539013615979,9743.264639504523,9306.237830286793,10873.723080520866,11703.1310413912,8688.905255026324,11296.977341385973,10879.724030239426,10600.795686767999,9765.580848025827,9480.631954707884,10836.39839547589,11312.355397204245,8076.813069115887,10463.647536600405,2020-02-24
37,9810.318152903412,10072.283643893232,9340.317370864637,9017.013116645074,10675.924632229684,11468.1682217429,8356.98259889043,11152.49671526333,10536.487080641846,10350.384024472574,9464.185079899436,9057.38935899729,10657.578349819501,11163.279752401326,7767.2688035386045,10193.149676506959,2020-02-25
38,9965.945853199899,9985.317681039784,9366.797149280179,8799.621530121902,10712.99480991088,11444.953178111244,8135.424377861854,10888.592551266645,10441.304492298646,10381.36777830866,9384.595557464443,9084.648847523535,10790.742007737377,11127.766647901935,7596.73248049136,10269.225674071558,2020-02-26
39,9314.48985863393,9647.616589753743,9116.97005352873,8393.19475334197,10197.311247791495,10439.676417049399,7810.9696776047485,10288.12465668839,9772.138118675271,9817.528850537707,8945.766493866886,8706.600291296207,10030.437269297892,10565.328800560648,7139.581623152075,9657.94720086729,2020-02-27
40,9309.041070435904,9680.37025053177,8868.293603271839,8100.188513824275,10194.335195925616,10080.19693553266,7745.414877046843,10030.900513878662,9365.446476944791,9998.955322194812,8731.788399417812,8329.268701157369,10273.303591756461,10437.726737876868,7371.739685666315,9603.545973599426,2020-02-28
41,10175.719522198538,10016.941667531946,9395.57909704017,8561.43659908427,10574.238456073177,10991.207330402016,8015.102035157257,10897.779173307235,9777.906927103299,10350.384024472574,9110.164306231754,8717.360255647121,10956.87993848492,11081.516437287046,7721.410434317887,10278.140470660463,2020-03-02
42,9852.546001625597,9890.444859874287,8978.816177267567,8190.926385863612,10330.927223475732,11124.165435980603,7832.544827519405,10822.61555452236,9841.361619236197,9987.532220392612,8847.475281862553,8390.244204122764,10431.832447075367,10949.371898195599,7351.676717466612,9960.485344475384,2020-03-03
43,10309.55206970292,10362.547893752022,9450.839944860365,8421.549707378836,10692.646344295179,11506.155791867319,8176.084725972678,11272.757485857679,10317.277861815306,10315.144091486889,9078.415697925207,8597.561242586517,10814.838703372521,11654.278037362861,7512.181009739122,10403.065411942438,2020-03-04
44,9975.141137955981,10233.792599211642,9270.089348061829,7860.11354096343,10412.319434411416,11413.296690769437,8064.890940051421,10845.99945165717,9991.34733750181,9816.110503899257,8645.67475398661,8175.753673657616,10543.437380473219,11404.030371895802,7181.140941094251,10093.387716518162,2020-03-05
45,9842.670008063542,10031.623986492163,9410.545393667444,7708.8842349743845,10288.174140982943,11313.402337627263,7909.716870394689,10709.872037835272,9792.328398029516,9674.106094151331,8387.335808575821,7753.228591337868,10245.403325990343,11224.810175651242,6834.3364088533335,9853.23021933805,2020-03-06
46,9064.192711053247,9630.674922221797,8867.142079421943,7105.859937300513,9744.404708701995,10571.931426795058,6694.050015678528,10077.66830814828,8987.597777066747,9077.192348082543,7515.765801039665,6703.013381104803,9551.046165626853,10789.560407500903,5998.853732105691,9123.394662937128,2020-03-09
47,9717.010123231159,9885.927024419836,9311.535423104646,7413.988674748248,10238.008179022898,11209.990358462945,7051.697108167668,11228.495018114874,9434.669977505719,9520.528203680502,8017.658068795885,7223.816453178612,10204.18524305742,10560.37297077201,6220.98031052008,9546.86749615675,2020-03-10
48,9379.533403732135,9583.238942483551,8990.328780700494,6982.986306463107,9853.991790589003,10823.075111459475,6889.884433446085,11441.456693181797,8756.850941384153,9040.682738527741,7475.753701781149,6883.787897130801,9741.915526684159,9962.834112088583,6016.050483894739,9118.461707993167,2020-03-11
49,8453.260714694363,8878.472983680042,8604.650856387672,5939.508349715859,9073.350429942055,10025.325404559197,6328.105616496661,10720.728028009193,7914.624165926906,8298.927319817003,6553.298720287069,6316.356306094387,8818.008893445562,8626.1148096577,5328.174398909099,8176.17664385249,2020-03-12
50,9466.031227594418,9641.969941702431,9400.18431408441,6557.655505877157,9659.92744511067,10910.306225607674,6922.2468417719565,11970.936937962138,9195.269929181082,9065.84386612357,7705.388762342478,7454.089541730601,10071.655352230817,9149.322522630153,5462.883290160596,9155.352619223,2020-03-13
